رقم الصنف,الوصف,عدد الباركودات,الباركودات
,,1,6224010160101
170,جميل,1,804722222229
172,النبية,0,
306,,1,3391674746422
658,,1,8697781918536
665,,4,3850000020365 | 5992602920013 | 7290101829386 | 8938538975014
762,,1,7290014094895
767,,1,8682511100107
802,مشمش مجفف بارك براند 400 جرام Pak,1,8681447066594
803,قطين مجفف باك براند 1 كيلو Pak Brand,1,8694756440474
807,مشمش مجفف ماي فروت 400 جرام - بدون,0,
809,قمر الدين مري لاند مشمش 400 جرام Merry,5,3461275842134 | 2511271196951 | 9851476325842 | 8681483051004 | 8681483052995
811,,1,8680902033546
822,قطين مجفف باك براند 500 جرام,1,8694756441655
835,,1,8697414120022
902,,1,6254299599576
903,,1,6254299599583
904,تمر مجهول البلعاوي 5 كيلو --  عرض,5,5995996456007 | 599599653204 | 6254299591037 | 6259975600003 | 5995996455000
905,,3,599599699509 | 6251229048210 | 2021112113295
907,تمر البلعاوي عمري 1 كيلو,0,
910,,1,6254299591051
919,تمر زهدي 1 كيلو -- علبة,1,2005994006135
935,,1,6254299591044
936,تمر مجَول 5 كيلو -,2,6250756975587 | 6250756975617
939,,2,6254299599569 | 6254243199005
947,,1,7296073109822
954,,2,6254299591020 | 9780201379617
958,تمر ملكي فاخر درجه اولي,2,6291100213344 | 6292111468686
1507,,1,8908006515684
رقم الصنف,بيان الصنف,1,الكتالوج الداخلي رقم الكتلوج
2001,اناناس الماس قطع 850 جرام,1,8850044313510
2004,فواكه مارينا 565 جرام Marina,1,7290017334219
2008,شرائح اناناس جرينر 850 جرام,1,8857651347815
2012,خوخ  820 جرام - WILLI FOOD,1,7290003578412
2018,زيتون بيونير مشرح 400 جرام اخضر,3,4521444758587 | 4522114414796 | 4952135781117
2033,اناناس 850 جرام قطع,1,7290014356412
2038,,1,7290117032923
2039,أناناس جرين جاردن  شرائح 830 جم  -,1,7290018554777
2042,,1,7290013151995
2050,ورق عنب محشي 300 جرام,4,3800236620594 | 3800236620501 | 3800236620488 | 3800236620495
2053,,1,7290002881261
2055,,2,7290002077121 | 7290004737443
2064,,1,8938501097
2070,جبنه  كريمي قشطه 450 جرام EIhamd,1,6224010237230
2088,,1,7290018638903
2301,تونة الامير الفاخر 150 جرام بارد,3,8852111019639 | 2106000011706 | 8852111019646
2302,تونة الطازة 140 جرام,2,4522112211410 | 8852768320010
2303,تونة الطازة 560 جرام - باكو × 4,1,4521212109955
2304,تونة المراعي 150 جرام Almaraai,2,7290013068583 | 7290010639687
2306,,3,4588852100117 | 2005141910100 | 4577752144994
2308,,0,
2311,تونة فولا 100 جرام Fulla,2,7290013068286 | 7290013068293
2312,تونة فولتونا 140 جرام,1,7290016096606
